id,datetime,vehicle_type,velocity,traffic_lane,lon,lat,kilopost,vehicle_length,detected_flag
1377,073005300,1,46.7,2,135.4697063,34.7112787,3578.0,3.5,1
1377,073005400,1,46.4,2,135.4697144,34.7112693,3576.8,3.5,1
1377,073005500,1,46.5,2,135.4697223,34.7112602,3575.4,3.5,1
1377,073005600,1,46.2,2,135.4697302,34.7112511,3574.1,3.5,1
1377,073005700,1,45.0,2,135.4697382,34.711242,3573.0,3.5,1
1377,073005800,1,44.1,2,135.4697463,34.7112328,3572.1,3.5,1
1377,073005900,1,43.9,2,135.4697545,34.7112235,3571.1,3.5,1
1377,073006000,1,42.9,2,135.4697628,34.711214,3570.0,3.5,1
1377,073006100,1,43.6,2,135.469771,34.7112046,3568.1,3.5,1
1377,073006200,1,44.4,2,135.4697792,34.7111951,3566.7,3.5,1
1377,073006300,1,46.0,2,135.4697874,34.7111857,3565.6,3.5,1
1377,073006400,1,45.1,2,135.4697955,34.7111763,3564.2,3.5,1
1377,073006500,1,45.5,2,135.4698036,34.7111669,3562.5,3.5,1
1377,073006600,1,45.5,2,135.4698118,34.7111574,3561.1,3.5,1
1377,073006700,1,45.3,2,135.4698202,34.7111477,3560.0,3.5,1
1377,073006800,1,43.8,2,135.4698287,34.7111379,3558.4,3.5,1
1377,073006900,1,44.9,2,135.4698374,34.7111279,3557.5,3.5,1
1377,073007000,1,46.7,2,135.4698462,34.7111177,3555.6,3.5,1
1377,073007100,1,44.9,2,135.4698553,34.7111073,3554.7,3.5,1
1377,073007200,1,45.1,2,135.4698645,34.7110967,3553.4,3.5,1
1377,073007300,1,46.2,2,135.4698737,34.711086,3551.9,3.5,1
1377,073007400,1,46.1,2,135.469883,34.7110753,3550.6,3.5,1
1377,073007500,1,45.2,2,135.4698922,34.7110647,3549.6,3.5,1
1377,073007600,1,46.1,2,135.4699013,34.7110543,3547.7,3.5,1
1377,073007700,1,47.5,2,135.4699101,34.7110442,3545.9,3.5,1
1377,073007800,1,47.5,2,135.4699186,34.7110345,3544.6,3.5,0
1377,073007900,1,47.5,2,135.4699269,34.7110251,3542.7,3.5,0
1377,073008000,1,47.4,2,135.4699349,34.7110161,3541.8,3.5,0
1377,073008100,1,47.4,2,135.4699426,34.7110074,3540.9,3.5,0
1377,073008200,1,47.4,2,135.4699499,34.7109993,3540.0,3.5,0
1377,073008300,1,47.4,2,135.4699565,34.710992,3532.5,3.5,0
1377,073008400,1,47.3,2,135.4699621,34.7109857,3532.5,3.5,0
1377,073008500,1,47.3,2,135.4699667,34.7109806,3531.9,3.5,0
1377,073008600,1,47.3,2,135.46997,34.7109766,3531.2,3.5,0
1377,073008700,1,47.3,2,135.4699724,34.7109736,3530.6,3.5,0
1377,073008800,1,47.2,2,135.4699742,34.7109708,3530.2,3.5,0
1377,073008900,1,47.2,2,135.4699761,34.7109676,3529.8,3.5,0
1377,073009000,1,47.2,2,135.4699789,34.7109634,3529.2,3.5,1
1377,073009100,1,48.2,2,135.4699829,34.7109577,3528.5,3.5,1
1377,073009200,1,49.0,2,135.4699884,34.7109505,3527.5,3.5,1
1377,073009300,1,48.8,2,135.4699953,34.7109419,3526.5,3.5,1
